,text,label,text_length
324,@user Who even knew that the Eu could be vindictive.,0,52
325,It's 6:30 in the morning and I'm dry ass up 😂,3,45
326,sometimes I think I'm just #afraid as a person,3,46
327,@user U make my heart flutter,1,29
328,Just #snorted #laughing @user #outtakes @user @user #hilarious Best duo ever! @user,1,83
329,Does #fear of #Missions still have a hold on you? Are you so busy looking for opportunities you cannot see anything else? Matthew 10: 27-33,2,139
330,Looking for a Lyft ride? $50 free w/ Lyft Code: CLEO # MK #mirthful #LOVETOSAVEMONEY,1,84
331,My heart is hurting because I had to pour my milk out because something was in it 😭,3,83
332,"@user where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful",0,136
333,#UKVI why are you so difficult to access? And why on earth am I being charged exorbitant amounts to understand about my visa status?!  #crap,0,140
334,"The Republicans need to offer a detailed and competitive plan, if they don't buy counter terrorism, or their own plan.",2,118
335,"Earth's sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back*",0,138
336,If people tweeting about #loveisland we're as passionate about other topics the world would be a much better place! #dull,3,121
337,"Idiot, @user says dumb stuff about his idiot son.  #shocking #TheAppleDoesntFallFarFromTheTree",0,94
338,@user Your parents should get you help not enable you &amp; you shouldn't drink when pregnant it can kill the baby! #horrid,0,123
339,Favorite character who's name starts with the letter M?\n #Prisonbreak5  #The100 #GreysAnatomy,1,94
340,#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse,3,144
341,@user @user @user nervous laughter ensues,1,41
342,@user mornin sexy phantom crush hottie happy tremendous totally fun Tuesday love n hugs enjoy it xxoo love yas tons n bunches xxoo,1,130
343,Listening to @user and watching the #eclipse at the dog park #bliss,1,67
344,I loved you even when everyone told me it was a bad choice 😕 #wish #you #stayed #away,3,85
345,@user @user Did you see it?  It's literally all porn.  Does she really work for huff post?,0,90
346,@user Haha nightmare,3,20
347,@user Inside job so modi can show more tantrums,0,47
348,"Stated at home the whole day, no eat, no enough sleep, chest and body aching. 😥",3,79
349,@user Nope we don't have it. It's an #outrage,0,45
350,@user @user I'm in tears. This is so heartbreaking 😭,3,52
351,@user I was fuming at this!!!,0,29
352,@user @user Christy is a bigger piece of shit then trump is and a bully.,0,72
353,2Chainz my nigga 😊,1,18
354,@user 🖤🖤😭🤬 Amen! Hope for revenge. This person should be punished manslaughter.,0,79
355,"Oh death, where is your sting?",3,30
356,"I just tore my 2nd meniscus in 2 months what the fuck have you accomplished. But seriously, reaching maniacal laughter pain/WTF, self?-ness",0,139
357,@user @user @user I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,3,107
358,Fed up of smiling at old people and getting dirty looks in return. Go fuck yourself Mildred you miserable prick,0,111
359,@user LOL 😍 This show is so funny,1,33
360,@user Nashville Sound lyric book edition! #glee,1,47
361,@user Happy birthday cuzzo many blessing🙌🏾💪🏾🇳🇬💯#KeepGrinding #blessed,1,69
362,"Yeah i might look weak when i forgive, but you know what? I pity more on those who hold the rage, hatred &amp; revenge inside.",0,126
363,So apparently one of your bus drivers has a grudge against me @user I was passed while waiting for it to stop. Real service there..,0,131
364,Found out the peraon i liked wanted to that someone else #sadness,3,65
365,Unfortunately listening to @user @user (as good as his show is) actually makes me want to emigrate  #worstgovernmentever,0,120
366,"By the lack of cheers for cozart when he was announced, one would assume people don't know who the reds are. #cincysports #depressing",3,133
367,"see, that shit would irritate me so much. don't save my picture and then have a secret circle jerk on twitter about how you DONT like me",0,136
368,'A #nation is a #society #united by #delusions about its #ancestry and by common #hatred of its #neighbors.' #Fact #TeamFollowBack,0,130
369,What are some good #funny #entertaining #interesting accounts I should follow ? My twitter is dry,1,97
370,@user #horrible experience #not satisfied #low on standards,0,59
371,"@user You really want Fabinho, lol 😃",1,36
372,@user @user You are a man after God's heart and I am proud that you are my president.  #BlessedAndGrateful #awesomeness,1,119
373,Trump's a Magician.\nBut the Prestige keeps being NOTHINGBURGERS AGAIN\nAnd the idiots keep foaming at the mouth in packs over it..,0,131
374,"@user This was one game I was looking forward too, server issues have spoiled the game, will not buy a CM game again",0,116
375,@user I don't have a TV in my room 😟,3,36
376,@user @user these kind of cops are the reason people hate cops &amp; cant trust anything,0,88
377,I need a sparkling bodysuit . No occasion. Just in case. It's my emergency sparkle suit .,1,89
378,Documentary narrator just referred to multiple octopus as octopuses and not octopi. What do i do now? Where is my congressman. #outrage,0,135
379,shaft abrasions from panties merely shifted to the side\n\n#theoldsideshift #annoyance #humansoflatecapitalism,0,110
380,"@user Why don't you try nominating qualified people; B.DeVos, T.Pruitt, R.Perry,etc...really? They are terrible!",0,112
381,@user Guts? 😂😂😂 go and sunk your face in sand,0,45
382,A good head and a good heart are always a formidable combination. (Nelson Mandela),2,82
383,Soooo @user we need longer episodes 🙏🏽🙏🏽😫😫 #insecure,3,52
384,"We are hard-pressed on everyside, yet't crushed; we are perplexed but't in despair; persecuted, but't forsaken; struck down, but't destroyed",3,140
385,"@user 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",3,133
386,Happy bday @user . You legit the big sister I never had 😌 have an amazing day dude 🙏🏽,1,85
387,@user @user you mean the 🍊🤡 didn't tweet the correction...? #shocking,0,69
388,Pressured. 😦,3,12
389,When you watch @user #MainEvent and play a small tourn. in your local 🇦🇹 cardroom. #limpedpot #familypot #horrible #polkish,0,123
390,What a tiring day 😧,3,19
391,"@user You have to follow @user  .  He's a professional gambler, mostly daily fantasy, but he will wager on anything.  #angry",0,124
392,this #overcast #cloudy #rainy weather makes me #lazy #glum and #sad,3,67
393,@user @user So what's wrong in burning the terrorists alive? If they kill you do you want biryanis and award in return,0,118
394,@user haha Use separate sheet if necessary 😆,1,44
395,this weather = my mood ☔ #miserable,3,35
396,@user We took a trip to Ireland right before we bought our home.  No way I could do it now.  I dread taking 2 days off of work.,3,127
397,That person that #TalksTooMuch it becomes fucking #frustrating &amp; you get #mad but u have to pretend ur interested cos ur a nice person,0,138
398,Hey @user #imwearingyourshirt today!! #humbleandkind  #awesomeness #timmcgraw #wqmx @user @user @user,1,101
399,"Request MRI 2 years ago, Neuro only requested last year, I'm still waiting on appointment  #mssucks #healthcareFail",0,115
400,You grieve for those who should not be grieved for;\n#KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,3,101
401,Things that rage me: when I hear a man ask a woman if she thinks her skirt/dress is too short\n\n😨😵😠😡😤 #shame #rage #Feminism #feminist,0,135
402,@user money grabbing and RUBBISH customer service!!! Rapids shut but no reply to emails! #diabolical #CustomerService #crap,0,123
403,"Dirty Den returns, bursting forth from his grave to deliver a horrible vengeance.",0,81
404,You can only help those who help themselves... #irritated #thisisntmyjob,0,72
405,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",2,107
406,OH YEON SO's kdrama is so nice and i am still in awe that she and dara are friends now.. hope they can have kdrama soon!,1,120
407,@user Happy to help :) If there is anything we can do for you please don't hesitate to ask. - Thanks - James K,1,110
408,"I've never been happier. I'm laying awake as I watch @user sleep. Thanks for making me happy again, babe.",1,105
409,going back to work today is so depressing,3,41
410,@user apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful,0,138
411,"@user @user @user I think it's awesome, I'm just going to need some time to marvel and reprogram my brain. 😆",1,108
412,Be fuming if Sunderland sign Murphy like. He was crap when we first signed him and he's still crap now,0,102
413,Today marks seven years since the Kyadondo terrorist attack where many lost loved ones. We mourn &amp; pray they continue resting in peace. 7/11,3,144
414,#LT a mom let her kid pay for the bus. The kid dropped the coins. I'm boiling in rage. My face may be straight bu my eyes say IMGONNAKILLYA,0,139
415,I'm a talkative person but how does the scowl on my face at 7 am lead my neighbors to believe that now is the time for conversation?,0,132
416,@user Your majority is 635 members of the public- believe me you have offended rather more than 635 voters!,0,107
417,When you put vienesse whirls in the same tub as the horrid cherry Bakewell 😩😭😷 #grim,3,84
418,I love swimming for the same reason I love meditating...the feeling of weightlessness.,1,86
419,@user @user There might be a spec of hope at the end of this horrific tunnel,2,76
420,How the jeff am I gonna cope @ KC. Diagnosed myself with 3 serious illnesses this morning &amp; spent £22 on ailments from the chemist,0,134
421,Wtf is wrong with u pldt 😤,0,26
422,just watch a revenge movie or write it down in a journal and let it all out,0,75
423,@user @user Looking forward to the big fella's comeback... #furious,0,67
424,My visit to hospital for care triggered #trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of #depression,3,140
425,"When I chirp, shawty, chirp back.",1,33
426,"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. #bipolar",0,113
427,I finally got my drivers permit #yes #readytodrive #nervous #scared,1,67
428,Best thing about the #bossbaby film has to be the wizard alarm clock doing lotr quotes!,1,87
429,That heartbreaking moment when you realise that @user has stopped following you on Twitter. #depressed #cryinginmysleep,3,119
430,Hey @user would it be safe to assume that this is the most disappointing #madden in years in your opinion?,3,106
431,@user That actually was a solid insult.,0,39
432,@user Please turn the A/C on #dieinginhere #hot #horrible,0,57
433,Hoping the Giant ice that broke off will cool the ocean and bring back the Great Barrier Reef #optimism #amirighttho #sigh,2,122
434,I thought the eclipse would make it not so damn hot outside today #disappointment,3,81
435,The optimist sees opportunity in every #barbecue; the pessimist sees barbecue in every opportunity.,2,99
436,@user @user Ou geek 😄,1,21
437,Hey @user you're going to go to jail one day.,0,45
438,"Thankful 4 Mother Nature's help with the 'watering ', downside, my legs are protesting 😣 #ouch #snap #crackle #pop rice crispies 4 legs 😀",1,137
439,@user @user I got the 'currently not available for online purchase.' #cry,3,73
440,I'm still feeling some type of way about Viserion. #GameOfThrones #crying #stresseating,3,87
441,Who's Your Cat Daddy!?\n\n#cats #love #instagood #photooftheday #beautiful #cute #happy #fashion #follo ...,1,107
442,"first ever doctors appointment without my mum, how daunting",3,59
443,"The moment I joined BTS, I was nervous &amp; felt lost. I still have those feelings but whenever I do, the people who bring me back are you guys",3,144
444,"In order to #expand beyond the places that are familiar, you have to do things that scare you.",2,94
445,Not being able to jump on #mechwarrioronline is killing me . #awful #internet,0,77
446,"So, if you have a really tiny penis, get help, but please don't try to compensate on the road  #bigcar #tinypenis #roadrage",0,123
447,I really want a fucking knife that I'm not afraid to use!,0,57
448,season 6 #glee,1,14
449,Horny. Anyone? #horny #bi #sex #london #snapchat #gaysnap #hornysnap #snapchatgay #snapchathorny #gaysnapchat #hornysnapchat #snapgay #snap,1,139
450,Morning Swindon!\nIs there any chance you can cheer yourself up a bit?!! #bleak 😝,3,81
451,another chunk of #antarctic the size of #wales broke off. The #glee of knowing humans deserve their #extinction. #climatechange,0,127
452,@user @user Sort it out @user,2,29
453,KEEF\n \n #annoyed! cant make me bursting out it's not a fire tweet makes me and then blocking people in the joints is too,0,122
454,And let the depression take the stage once more 🙃,3,49
455,Somebody called y'all president a fucknugget 😂😂 idk what that is but it was the laugh I needed this morning 😭,1,109
456,"Been so active these days. That now that I have a day off, I am soooo restless. :P Haven't been restless in months.",3,115
457,Suicide Blast killed 11 people in Cameroon. #bomb #attack   #security #explosion,3,80
458,Looking up some phone prices online and it just saddens me even more 😧,3,70
459,"There is at least one alternate universe where Trump stayed a democrat, beat HRC for the nom, and got elected as a Democratic president.",2,136
460,Thx @user for hosting us @user ❤️ my boys @user @user @user 😍 #great #nite,1,74
461,#happy #birthday #day trip #great day #super nice weather #blue sky #good mood #fun #love #ice cream #lycklig #födelsedag #öland,1,128
462,I really love @user really great start to this season.  #resist,1,63
463,The best thing about #australianninjawarrior tonight is watching the failed attempts on the bomb slider. #hilarious #laughingsohard 🤣🤣🤣,1,135
464,"Before I even understood what was happening, I'd feel this pang of sadness whenever we parted 😥 #firstlove #bliss #books #lovehurts",3,131
465,I am so freaking annoyed that he constantly feels the need to be a time in my life where I'd be happy with just one monitor on my PC,0,132
466,This class makes me fucking angry!,0,34
467,But DAMN the sight of them getting scared af makes me feeel SOOO BAD! Which they should feel afraid cause if their mom don't come n it them,3,139
468,I hate the smell of cigarettes.. 😠,0,34
469,"@user Yeah, his heart is evil and his speech reflected that.  Says a lot about your character that you find it 'awesome'.  How",0,126
470,@user @user Interestingly shocking and sad! American Judiciary is seriously flawed!,3,83
471,"If you don't follow @user you should. His feed yesterday, all day, was gold. #TrumpJr #baffled",0,94
472,"Most condemn, some protest and few revenge, it takes guts. That's all. \r#AmarnathTerrorAttack #Hindu #Kashmir #RajnathSingh #Modi #Ninda",0,137
473,UPDATE: One person dead &amp; another in serious condition after home invasion in Flint. Incident happened in college cultural center area.,3,139
474,"@user It's been a little Twitter saga lately. The tea thing is horrific, plus they never have fresh milk to put in it.",0,118
475,@user @user Don't insult donkeys,0,32
476,@user Yeah funny and sexy 😍,1,27
477,@user well be offended then cause im speakin truths here 😜,0,58
478,Doug Beattie joked on twitter once upon a time about putting Afghan people in 'body bags'. Hard to take this outrage seriously @user,0,132
479,"@user Off to jail with lots of other like minded muslims, with his koran, prayer mat, halal #islam = #terrorism",0,111
480,"When people tell me they're a huge fan of #LordOfTheRings, but they've never read any of the books...\n\n#sadness #despair #misery #covfefe",3,139
481,#pissed Hate losing more than Montrezl Harrell Why have meteorologists been so impressive after that pick.,0,106
482,"Thankful for...job, healthy, sober, happy as hell about things...still have a panic attacks every time I put my sunglasses on.",1,126
483,"@user @user No empathetic and realistic, I know when enough is enough unlike the rabid GOSH bashing mob.",0,104
484,@user That brown waist coat was a NO 😂,1,38
485,Anyone else find it really difficult to stop yourself from making a really petty tweet when ur absolutely raging about something ? 😬,0,132
486,Should I be flattered that locals keep asking if Im Swedish? #Swedish #beautiful #Europe,1,88
487,Do you know how terrible that stuff is for you?,0,47
488,"The use of violence, threat of violence and intimidation just tag zany pf. Very good at it.",0,91
489,You can clearly appreciate the sub-harmonics in both...-ONE💯😂😂😂👍🏿,1,65
490,We probably wouldn't #worry about what people think of us if we could know how seldom they do.,2,94
491,That became obvious with the Morata saga. The fucking bitter old cunt turned down 70m for that sideman.,0,103
492,on the upside i saw a corgi puppy on the tube today. my shining light in the dark.,1,82
493,Cancelled trains make me so mad because we could've spent more time with Kodak in the morning 😡  #ihatetuesdays #ffffff,0,119
494,"And then when you tell those people, they’re wrong in their stance, they want to get mad and start bullshit. I don have time.",0,125
495,@user Don Jr lawyered up with the wrong folk. He aint so bright.,3,64
496,oh and my alarm should be going off soon for the doctor so that's fun,1,69
497,@user 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂,0,91
498,"I respect facebook and them killing Snapchat. If you can't buy em, beat em #fb",0,78
499,@user Humanist &amp; sailor!? 😂😂😂😂😂😂😂😂  You forgot to add big time loser! #arsehole 🇬🇧,0,86
500,This nightmare is nearly over gang gang gang,2,44
501,One day someone will change ur perspective from bitter to sweet from broken to complete,2,87
502,"@user @user My shirt did not arrive today as promised, I even pre-ordered it in June, who do I make my complaint to ?",0,117
503,There is much in the world to make us #afraid. There is much more in our faith to make us #unafraid.,2,100
504,Don't be discouraged.,2,21
505,"Longing to see Your face, Christ Jesus, I rejoice in the anticipation of Your coming again!",1,91
506,ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,3,131
507,"@user 'my own mistakes?' Grisk asked - well, more of a growl 'My mistakes meant that I could /learn/ from them and improve!'",2,124
508,"@user Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still...",0,123
509,@user #F3Roswell #Preblast\nI've been handed the keys to Roswell Area Park. See you in the gloom. Be ready to slip &amp; slide at 0530,1,134
510,Grind smarter.  #Hustle #Grind,2,30
511,I should've stayed in bed.,3,26
512,Mima tremendous at bringing the noise.,1,38
513,"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",0,109
514,When lil bro refills your water bottle cause it's a desert when I sleep... #cheering #lazysis,1,93
515,@user Not good. Rats nest get rid of them before they chew your wiring $$$$. I also heard they hate the smell of pine sol.,0,122
516,Goodevening 😆,1,13
517,@user @user @user McNabb at times started out bad the defense made plays the offense found rhythm,0,97
518,@user sad day Danny 😓you have been and still are a true Leeds rhino you have been brilliant at the club I will miss you,3,119
519,I rage quit on Minecraft and I deleted the game. #rage,0,54
520,"You can't change who people are, but you can love them #sadly",3,61
521,that moment when you feel meaningless and just feeling like you cant do anything right =*( #foreveralone,3,104
522,"One arm around my waist, hand down my crouch to pull me towards yourself with. You behind my back, jeans around your ankles you inside",1,134
523,@user September? Really? 😢,3,26
524,"Christian, Christ is your sacrifice that turns aside the justly deserved wrath of God &amp; justly satisfied Gods righteous demands.",2,132
525,"“Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.”\nGalatians 6:9 NIV",2,127
526,Prepare to suffer the sting of Ghost Rider's power! Prepare to know the true meaning of hell!,0,93
527,@user So are you saying there's a good chance that two teams might *gasp* finish last? One in the East and one in the West? #offended,0,133
528,Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,1,121
529,Are people becoming more annoying or am I becoming more angry?! 😩😒😕\n#introvertproblems,0,87
530,@user omg why ☹,3,15
531,@user YOU NEVER TOLD MOI  #jkjk,3,31
532,one tweet:‘Over the coming weeks we'll be continuing to threaten various bluetick  dipsh**s with imprisonment under a socialist government.’,0,140
533,@user Stupid cunt is relentless with his bullshit,0,49
534,@user So funny!!!!!!!!! #lol   #clever,1,38
535,@user @user No ones trying to fuck with you tiff.,0,49
536,@user  #DeMario was a player but even an allegation of #sexualassault will ruin a life. Be damned sure it's true. #heartbreaking,3,128
537,"@user Do you live in Manhattan, broflake? You're fake outrage is at whiny-Millennial level.",0,91
538,#sad #realDonaldTrump #faketweets: Working hard to get the Olympics for the United States (L.A.). Stay tuned! #cnn,3,114
539,"I'm furious, wondering what happens after the latest 'Yep, sounds pretty treasonous' scandal. At least calling Sens is something we can DO.",0,139
540,"So excited for the final 10 eps of @user So happy @user is back and @user returns, as well as @user 😄❤",1,102
541,Absolutely love @user but can't listen to it during my commute on the subway because I burst out laughing and people stare!,1,123
542,"Today, no matter how desperate or dire your situation nothing is too difficult for God. (Jeremiah 32:27) #JustBreath #HeIsAble #Believe",2,135
543,I am furious. It is nearly 1pm and we still haven't signed another player. #getyourchequebookoutchairman,0,104
544,"If the blues were whiskey , I'd stay drunk all the time",3,55
545,Why  o they call it a happy mea. if it tastes like a whole lot like depression.,3,79
546,I've been awake for 451 days 23 hours and I'm sleepy and tired #weary #raspberrypi #nodered #bot #iot #sunshinecoast,3,116
547,"We get #upset when we are #overlooked for doing things for others, even small things. Imagine how #Jesus feels when he died for our sins.",3,137
548,Tuesday night and the wine is coming out. Just got home from work if that explains it. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ #irritated,0,123
549,The only upside to being deathly ill this week is that I've gotten better at taking pills. #optimism,2,100
550,@user @user Don't worry Narendra Modi is not Manmohan Singh.,2,60
551,"@user --been a damn sight better!' Grisk poked Grillby's chest, a low snarl leaving him.",3,88
552,Baywatch movie is so friggin #awesome #funny #delightful,1,56
553,Having a movie day with my favorite today 😄 god I love my lil goth bean.,1,72
554,In need of a change! #restless,3,30
555,Shaking about your 2 bills on snapchat 😅 you're obviously new to money,1,70
556,@user believe it! you can start your temper tantrum now/,0,56
557,13) mutual whos always online - @user bc we have to bully her to get to sleep,1,77
558,@user Why dont you have nothing #to. #insult #justajoke #seriously,0,66
559,It's so sad when you talk so highly of someone then they end up disappointing u and making u look like a pendeja,3,112
560,@user @user there was a fair bit of raging folk last night... something to do with pension day?,0,95
561,'Pope fuming after police broke up drug-fuelled Vatican priest gay orgy' \nAts some headline,0,92
562,@user is dani alves really going to go to PSG in your opinion #nervous,3,70
563,@user @user Goal posts moved out of America &amp; inching closer to #Russia #horrific. #treason,0,95
564,Getting up for work is so much harder when Charles doesn't have to 🙁,3,68
565,I should wear black &amp; mourn a lil'.,3,39
566,"The good thing about being a pessimist is that when I have low expectations all the time, I am pleasantly surprised more often. #pessimist",3,138
567,@user An outrage,0,16
568,@user Wow I've just spotted the cutest human being alive #blessed 😍,1,67
569,@user @user A few not many #giggles,1,35
570,@user Think it lost its heart after the second version. Third was disappointing and haven't played the fourth yet,3,113
571,get u a goofy shorty w/ a big heart &amp; a anger problem..,0,59
572,just released two videos in honer of Cory Monteith and Finn Hundson go wath link in bio\n@CoryMonteith @user #glee,1,114
573,Depression &amp; fear come when we're hyper-focused on what we don't have or who we're not instead all that we have and who we are! #contentment,2,144
574,Why is @user 'busted' bc he spoke w/Russian lawyer? He's a world bizman. Where was the outrage bc @user honeymooned there?,0,122
575,"No matter how much @user lights up the forest, they end up getting lost 😂 \n#ZescoForest\n#SSBola",1,97
576,@user Guess who got a ghd now😃😃 no need to dread coming up and getting ready in mine with my boots straighter,1,109
577,"@user Bholenath ne apna Gussa toh nikaalna hai. Either the government helps take out Terrorism and do HIS work, Or the wrath is on GOVT",0,135
578,I'm actually very irritated 😡,0,29
579,"Consider the language. She says DJT Jr. Sought, wasn't promised, dirt on HRC. Will inflame the left, may compel the right to lash out.",0,134
580,I should've gotten an apartment with Kenneth 😭,3,46
581,@user #TuesdayThoughts #horror damn it's tough to chose. But I will go to camp crystal lake but not as counselors😁,1,114
582,🔝 #love #instagood #photooftheday @user #photoeveryday #cute #picture #beautiful #followme #happy #follow #fashion #pic #picoftheday,1,132
583,"@user &gt; She strikes out again, a slap, then another, advancing, furious, spitting every word. 'Dosph'natha waela lotha ligrr lu'dos&gt;",0,138
584,"@user Muslims r justifying terror attacks on Hindus citing babri, but who is hurting Hindu sentiments time and again by killing cows?",0,133
585,QLD are like the All Blacks #relentless,0,39
586,The best kind of self harm is through the mind #depression,3,58
587,"@user Mr President. Hell hath no fury like a Democrap scorned! They offer no alternatives, just obstruct. That's all they have.",0,127
588,@user @user @user That's like asking someone to back up a claim that toddlers throw temper tantrums.,0,100
589,this year keeps getting more depressing and disappointing,3,57
590,Jock! Pakistani are Firing on loc without reason.They r Killing our Pilgrims. #PMO Thanks! V r safe! R V #warfools ? #fearing PAK nuke??,3,136
591,So exhausted I could cry 😭,3,26
592,Goddamn fucking piece of shit panic attacks...,0,46
593,'She's alway been an achiever'\nI feel like I'm not.\n #thoughts,3,64
594,I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...,0,134
595,"I'm 7 months sober today and still, all I want is to dig up my xanax and turn off my brain",3,90
596,ever shit and just become another cog in the chat i will not hesitate to smack ur bottoms,0,89
597,.@POTUS every other President has said you can really only govern foe 18 months until the re-elect. Why are you focused on 2020 now? #scared,0,140
598,To be really knowledgeable and really petty is such a delight to behold.,1,72
599,"love getting 5 hours of sleep, and then getting woken up to HORRID allergies. Oh good morning, world. #allergy #wonderful",0,121
600,@user McCain is revolting,0,25
601,#AmarnathTerrorAttack  Muslims are killing everywhere Syria Iraq Palestine Everyday beyond They say that Islam is terrorism shame on you,0,136
602,Alien Newborn - Alien: Resurrection (Sideshow Collectibles) - This thing really was an abomination! #horror #aliens #figures,0,124
603,"@user awe feels or que :,(",3,26
604,No offense to the girl next to me but dousing yourself with cheap cologne won't hide your rank smell,0,100
605,when you try your best but you don't suceed!!!😞😭😭😰😰😢😢#Sad #alone #tears #b #bored #boredtodeath,3,95
606,flatmates provocating pine pollen man,0,37
607,@user @user This is such a pleasing color palette!,1,50
608,"we will send video to proper agency ,state workers harass the public to fuel the ego of Scott Arniel  and trial court what the bleep #bully",0,139
609,"@user One of the twins was sleeping next to me. I tried to cover my laughter, but I shook so hard she woke up!",1,110
610,@user Ya one time I was like hey daddy queue up with me I can make you wild growth and he was like nice try lulu abuser 😞,0,121
611,#Goals 'Too many of us are not living our dreams because we are living our #fears. ' --Les Brown #success,2,105
612,"@user Sir, what about 2G, 3G, 4G, Coalgate, scams Parliament Attack, Mumbai terror attacks despite intelligence input.",0,118
613,Think of the amount of hatred necessary to commit this type of crime-it should be a capital offense.No bail.Laws were meant to protect.,0,135
614,Fuck @user  Let us go for #splendid isolation !,0,47
615,Did they offend us and they want it to sound new?,0,49
616,the teacher gave us assignment to write a letter on why we should bpe hired (hypothetically) and i'm having a mental breakdown &amp; anxiety,3,140
617,@user Because Ken is a rabid lefty extremist and propagandist.,0,62
618,"'You dare threaten me, Thor, with so puny a weapon?'",0,52
619,"Damn twitter making everybody mad, it's hilarious 😂",1,51
620,omg they said kyungsoo looked gloomy and his instant smile after that i'm melting,1,81
621,"Importing shit is not new. If you want it, take the steps necessary to get it. But don't sit and pout over Japan doing what it's ALWAYS done",0,140
622,The stupidest and weirdest thing people do. And what's more stupid than that? They upload it online. Oh my god. But good for laughter ah. 🤣🤣,1,140
623,When you baby has their first temperature and all you do is worry #firsttimemum #firsttimemom #newborn #baby #sickbaby #worry,3,125
624,"@user @user That's a fucking outrage. Yeah, the frowny-face rating doesn't exactly cover it.",0,92
625,Tomorrow should be interesting if info is being released re away priority &amp; Canalside membership! #outrage #htafc,0,117
626,"@user trembled, the #earth quaked, and it became a very great #panic. [2/2]",3,75
627,@user Every #girl #nightmare ha ha ha (~.~)!!,1,45
628,#Merkel has supported all #Israeli #terror initiatives opposing the #Palestinian bid for membership at the #UN.,3,111
629,"i must say, the amount of low-level fighters and gatekeepers running their mouths is ridiculous. #jealousy  #ufc #jonjones",0,122
630,@user Exhausting for us. Imagine being so tightly wrapped that you're writing these 'think pieces' at such a furious rate. #medicated,0,133
631,@user You do know when most people refer to the hair as “lawn” they mean down there right?? 🤣,3,93
632,Jay Z came out of retirement just to drop the album of the year on y'all...let that sink in. Have a great day y'all 🙌🏿,1,118
633,#sebastiangorka is unwatchable and despicable! #nothuman #fascist #bully #liar #vomitinducing,0,93
634,'How We Are Ruining America' By this liberal lip service pointing out an inequity that they protect while feigning indignation for all.,0,135
635,IT WASN'T ENOUGH 😢,3,18
636,"Just a side #thought, everything takes #time and #effort ... #annoyed",0,69
637,'I'm #angry so I'm going to make you #spend #money on #me.' - @ Me\n#PrimeDay,0,77
638,every time i think abt hobi crying i start crying,3,49
639,@user lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away,0,134
640,"big over sized clothes, hours of use for bad haircut, 😊 real big rage #🍑",0,72
641,"@user Sorry to burst your bubble, but opposition research is part of every political campaign.  Doesn't matter where it comes from.",3,131
642,"I don't know why I'm like this but, whenever I see him, I just smile and feel happiness when he's around💕",1,105
643,#AmarnathTerrorAttack @user @user cn u plz ans wt u r afrd of or wt stpng u to end #terrorism wn whol #India is stndng wth u,3,124
644,how can u expect me to love something that makes me so unhappy? 😌,3,65
645,"Article 370 must be abolished. Human rights must be denied to these NGOs, Separatist n terrorists who advocate peace n terrorism. @user",0,135
646,@user Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid,0,109
647,blood rage,0,10
648,"Quote of the day comes from Queen Cersei herself @user 'Power hungry people are fearful, otherwise why wouldn't you just chill?' 👏",2,130
649,"those who think poly is a stage whr u can relax abit, u're wrong. u're gonna b haunt by projects  and tutorials which is like tonnes ergh",0,137
650,Make her burst into laughter bcs of you.,1,40
651,"I actually hate Vision. Coming over from @user is like moving from Man City to QPR. A league below, past it and clouded in chaos.",0,129
652,@user it's awful!,0,17
653,@user It really is. And it was a normal thing a few years ago but it should've stayed in the past by now.,3,105
654,"Quick annoyingly vague scream into the void: AAAAAAAAAAGH. I'm nervous, excited, terrified, trying not to get my hopes up",0,121
655,"Never stay silent or let anyone intimidate you into silence.  Lets make the world a better, safer place for kids #wallofsilence",2,127
656,When coming up with banal text to add to things note that 'BE HAPPY' is a lot of god damn pressure!\n#depression #anxiety,3,121
657,Family stuck with crappy options thanks to @user .  Worst airline.  #furious,0,76
